CART_ID,ORDER,WIP_ID,ACTION,COMPLETE_TIME
C01,1,W01,PICKUP,0
C01,2,W01,DELIVERY,7
C01,3,W12,PICKUP,22
C01,4,W12,DELIVERY,32
C02,1,W31,PICKUP,16
C02,2,W02,PICKUP,19
C02,3,W31,DELIVERY,31
C02,4,W02,DELIVERY,36
C03,1,W39,PICKUP,23
C03,2,W03,PICKUP,25
C03,3,W39,DELIVERY,28
C03,4,W03,DELIVERY,46
C04,1,W04,PICKUP,23
C04,2,W21,PICKUP,40
C04,3,W21,DELIVERY,53
C04,4,W04,DELIVERY,56
C05,1,W32,PICKUP,16
C05,2,W05,PICKUP,30
C05,3,W32,DELIVERY,38
C05,4,W05,DELIVERY,58
C06,1,W20,PICKUP,22
C06,2,W06,PICKUP,27
C06,3,W20,DELIVERY,48
C06,4,W06,DELIVERY,53
C07,1,W07,PICKUP,3
C07,2,W28,PICKUP,26
C07,3,W07,DELIVERY,31
C07,4,W28,DELIVERY,33
C08,1,W08,PICKUP,18
C08,2,W17,PICKUP,20
C08,3,W08,DELIVERY,44
C08,4,W17,DELIVERY,46
C09,1,W09,PICKUP,23
C09,2,W34,PICKUP,25
C09,3,W09,DELIVERY,51
C09,4,W34,DELIVERY,53
C10,1,W16,PICKUP,17
C10,2,W10,PICKUP,20
C10,3,W16,DELIVERY,33
C10,4,W10,DELIVERY,35
C11,1,W37,PICKUP,21
C11,2,W11,PICKUP,38
C11,3,W11,DELIVERY,45
C11,4,W37,DELIVERY,48
C12,1,W30,PICKUP,25
C12,2,W13,PICKUP,30
C12,3,W30,DELIVERY,37
C12,4,W13,DELIVERY,40
C13,1,W22,PICKUP,8
C13,2,W14,PICKUP,33
C13,3,W22,DELIVERY,36
C13,4,W14,DELIVERY,41
C14,1,W40,PICKUP,23
C14,2,W15,PICKUP,26
C14,3,W15,DELIVERY,31
C14,4,W40,DELIVERY,46
C15,1,W19,PICKUP,22
C15,2,W18,PICKUP,25
C15,3,W19,DELIVERY,27
C15,4,W18,DELIVERY,34
C16,1,W23,PICKUP,5
C16,2,W38,PICKUP,28
C16,3,W23,DELIVERY,33
C16,4,W38,DELIVERY,46
C17,1,W29,PICKUP,2
C17,2,W24,PICKUP,20
C17,3,W24,DELIVERY,20
C17,4,W29,DELIVERY,30
C18,1,W35,PICKUP,25
C18,2,W25,PICKUP,35
C18,3,W35,DELIVERY,52
C18,4,W25,DELIVERY,54
C19,1,W27,PICKUP,18
C19,2,W26,PICKUP,33
C19,3,W27,DELIVERY,33
C19,4,W26,DELIVERY,36
C20,1,W36,PICKUP,3
C20,2,W33,PICKUP,8
C20,3,W36,DELIVERY,25
C20,4,W33,DELIVERY,28
