CART_ID,ORDER,WIP_ID,ACTION,COMPLETE_TIME
C01,1,W27,PICKUP,18
C01,2,W11,PICKUP,33
C01,3,W27,DELIVERY,35
C01,4,W11,DELIVERY,40
C02,1,W29,PICKUP,2
C02,2,W09,PICKUP,23
C02,3,W29,DELIVERY,23
C02,4,W40,PICKUP,25
C02,5,W40,DELIVERY,48
C02,6,W33,PICKUP,50
C02,7,W09,DELIVERY,68
C02,8,W33,DELIVERY,73
C03,1,W32,PICKUP,16
C03,2,W24,PICKUP,18
C03,3,W24,DELIVERY,18
C03,4,W05,PICKUP,30
C03,5,W32,DELIVERY,38
C03,6,W03,PICKUP,43
C03,7,W03,DELIVERY,58
C03,8,W05,DELIVERY,68
C04,1,W36,PICKUP,3
C04,2,W36,DELIVERY,23
C04,3,W20,PICKUP,28
C04,4,W06,PICKUP,33
C04,5,W20,DELIVERY,54
C04,6,W15,PICKUP,57
C04,7,W15,DELIVERY,62
C04,8,W06,DELIVERY,69
C05,1,W07,PICKUP,3
C05,2,W23,PICKUP,5
C05,3,W07,DELIVERY,31
C05,4,W23,DELIVERY,36
C05,5,W13,PICKUP,36
C05,6,W21,PICKUP,43
C05,7,W13,DELIVERY,48
C05,8,W19,PICKUP,56
C05,9,W19,DELIVERY,61
C05,10,W21,DELIVERY,66
C06,1,W08,PICKUP,18
C06,2,W34,PICKUP,23
C06,3,W08,DELIVERY,44
C06,4,W18,PICKUP,46
C06,5,W18,DELIVERY,51
C06,6,W34,DELIVERY,51
C06,7,W16,PICKUP,54
C06,8,W10,PICKUP,57
C06,9,W16,DELIVERY,70
C06,10,W10,DELIVERY,72
C07,1,W22,PICKUP,8
C07,2,W37,PICKUP,21
C07,3,W26,PICKUP,38
C07,4,W22,DELIVERY,38
C07,5,W26,DELIVERY,41
C07,6,W14,PICKUP,41
C07,7,W14,DELIVERY,49
C07,8,W28,PICKUP,51
C07,9,W28,DELIVERY,56
C07,10,W37,DELIVERY,56
C08,1,W01,PICKUP,0
C08,2,W01,DELIVERY,7
C08,3,W17,PICKUP,20
C08,4,W04,PICKUP,23
C08,5,W17,DELIVERY,49
C08,6,W39,PICKUP,52
C08,7,W12,PICKUP,57
C08,8,W39,DELIVERY,57
C08,9,W04,DELIVERY,67
C08,10,W12,DELIVERY,67
C09,1,W02,PICKUP,13
C09,2,W31,PICKUP,16
C09,3,W31,DELIVERY,31
C09,4,W30,PICKUP,33
C09,5,W02,DELIVERY,36
C09,6,W38,PICKUP,36
C09,7,W30,DELIVERY,44
C09,8,W35,PICKUP,52
C09,9,W38,DELIVERY,54
C09,10,W25,PICKUP,62
C09,11,W35,DELIVERY,79
C09,12,W25,DELIVERY,81
